"id","nome_civil","nome_parlamentar","partido","ativo","timestamp"
1,Augusto José Carreras Cavalcanti de Albuquerque,Augusto Carreras,PSB,true,2019-11-21 00:33:08
2,Wanderson Sobral Florêncio,Wanderson Florêncio,PSC,false,2019-11-21 00:33:08
3,Romero Jatobá Cavalcanti Neto,Romerinho Jatobá,PROS,true,2019-11-21 00:33:08
4,Sônia Maria Moraes de Oliveira,Sônia Maria Moraes de Oliveira,PSB,false,2019-11-21 00:33:08
5,Gilberto Alves,Gilberto Alves,PSD,true,2019-11-21 00:33:08
6,Inaldo Gerson Pereira Freires,Júnior Bocão,PSDB,true,2019-11-21 00:33:08
7,Samuel Salazar,Samuel Salazar,Sem Registro,true,2019-11-21 00:33:09
8,Almir Fernando Alves,Almir Fernando,PC DO B,true,2019-11-21 00:33:09
9,Antonio Luiz da Silva Neto,Antonio Luiz Neto,PTB,true,2019-11-21 00:33:09
10,Romero Lima Bezerra de Albuquerque,Romero Albuquerque,PP,false,2019-11-21 00:33:09
11,Aimee Carvalho,Aimee Carvalho,PSB,true,2019-11-21 00:33:09
12,Jayme Jemil Asfora Filho,Jayme Asfora,Sem Registro,true,2019-11-21 00:33:09
13,Aline Mariano,Aline Mariano,PP,true,2019-11-21 00:33:09
14,João da Costa Bezerra Filho,João da Costa,PT,true,2019-11-21 00:33:09
15,André Régis,André Régis,PSDB,true,2019-11-21 00:33:09
16,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR PONTES,Marília Arraes,PT,false,2019-11-21 00:33:09
17,Ricardo Jorge da Cruz,Ricardo Cruz,Cidadania,true,2019-11-21 00:33:09
18,Carlos Gueiros,Carlos Gueiros,PSB,true,2019-11-21 00:33:09
19,Rodrigo Bezerra Coutinho de Melo,Rodrigo Coutinho,SDD,true,2019-11-21 00:33:09
20,Amaro Cipriano de Lima,Amaro Cipriano,PSB,true,2019-11-21 00:33:09
21,Davi Muniz,Davi Muniz,PATRIOTAS,true,2019-11-21 00:33:09
22,Chico Kiko,Chico Kiko,PP,true,2019-11-21 00:33:09
23,Jairo Brito,Jairo Britto,PT,true,2019-11-21 00:33:09
24,Rogério de Lucca,Rogério de Lucca,PSL,true,2019-11-21 00:33:09
25,Eriberto Rafael,Eriberto Rafael,PTC,true,2019-11-21 00:33:09
26,Natália de Menudo,Natália de Menudo,PSB,true,2019-11-21 00:33:09
27,Paulo Renato Antunes Guimarães,Renato Antunes,PSC,true,2019-11-21 00:33:09
28,Rinaldo Alves de Lima Júnior,Rinaldo Júnior,PSB,true,2019-11-21 00:33:09
29,Fred Ferreira,Fred Ferreira,PSC,true,2019-11-21 00:33:09
30,José Wilton de Brito Cavalcanti,Wilton Brito,PP,true,2019-11-21 00:33:09
31,Benjamim Gonçalves da Silva Junior,Benjamim da Saúde,PATRIOTAS,true,2019-11-21 00:33:09
32,Eduardo Marques,Eduardo Marques,PSB,true,2019-11-21 00:33:09
33,Jadeval de Lima,Jadeval de Lima,PDT,false,2019-11-21 00:33:09
34,Marco Aurélio Medeiros,Marco Aurélio Medeiros,PRTB,false,2019-11-21 00:33:09
35,Eduardo Chera,Eduardo Chera,PSC,true,2019-11-21 00:33:10
36,Ana Lúcia do Rêgo Ferreira,Professora Ana Lúcia,PRB,true,2019-11-21 00:33:10
37,Helio Batista de Oliveira,Hélio Guabiraba,Sem Registro,true,2019-11-21 00:33:10
38,Marcos Gomes,Marcos di Bria,PSDC,true,2019-11-21 00:33:10
39,Aerto Luna,Aerto Luna,PRP,true,2019-11-21 00:33:10
40,Aderaldo Pinto,Aderaldo Pinto,PSB,true,2019-11-21 00:33:10
41,Ivan Vasconcellos de Moraes Filho,Ivan Moraes,PSOL,true,2019-11-21 00:33:10
42,Maria Goretti Cordeiro de Queiroz,Goretti Queiroz,PSC,true,2019-11-21 00:33:10
43,Missionária Michele Collins,Missionária Michele Collins,PP,true,2019-11-21 00:33:10
44,Felipe Francismar,Felipe Francismar,PSB,true,2019-11-21 00:33:10
45,Alcides Teixeira Neto,Alcides Teixeira Neto,Sem Registro,true,2019-11-21 00:33:10
